Question_darija_processesd,Answer_darija_processesd,Category
شنو سبب ليت كايضرّو رجلين ديال حاملا?,خاصك تنقص من الكالسيوم والمنيزيم,Neurology
ماتغامرش,رسم ليكم الخطوط العريضة ديالكم، ماكاين حتى مشكل,Neurology
واش مرض الحزام الناري ديما كايسبب الحكة؟,ماشي بالضرورة,Neurology
واش كاين شي دوا نهائي ل صرع,بالتأكيد كاين علاج نهائي للصرع,Neurology
شنو هوما التنشيطات لحاراريا,هاد لضروبات كايتجيو ملي كايكبرو لحرارا,Neurology
واش الأدوية ديال النعاس مزيانة للصحة ديال العقل,"طابعان, حيت كايحسن لحالا تالميزاج ديال لمريض",Neurology
واش الدوا ديال صابريل كايعالج لمرض ديال الصرع,مكيحتاجش يتبع,Neurology
واش ممكن يتقطع العصب بلا ما يجرح؟,"أيه, هادشي إمكاني",Neurology
واش مومكين تقرا هاد التحلّيل أُ تشوف واش هي صحيحة,أه، رموحميد.,Neurology
ليراكا عندها الحق,الاسم العلمي ديالو هو pregabaline، وهو دوا كايتستعمل فالعلاج ديال الصداع النصفي والاكتئاب,Neurology
واش كاين شي واحد يقدر يجي ويقول ليه واش كاين,رسم لمخ ديالك,Neurology
واش لمرض ديال الصرع راه دايم أُلا يمكن يتشاف?,إمكان هادشي إقدر يتشاف,Neurology
شنو هو لعلاج ديال شالّان,خاصنا نعرفو أولا علاش كاين الشلل النصفي,Neurology
شنو هوما تمارين الرياضية ديال الدماغ,تمارين ديال رياديات وتامارين ديال ديكتير,Neurology
السكات، السكات، صعيب نعيطو,عافاك حط التقرير ديال الراديو فالموقع,Neurology
التهاب العصب الخامس، واش ماعندو علاج غير العملية؟,"أه, راه دوا",Neurology
واش لعاصير ديال لحامض مزيانا ل ناس لي مريضا ب لعضم السابع,خاصك تمشي عند شي طبيب نفسي,Neurology
كيفاش كايتعالجو التهاب دماغيا ب لعلاج الطبيعي,التهاب الدماغ ماكيتعالجش بسهولة,Neurology
دوا ديال تسكين ل الضمور,كايحمّل لمجران قرص من بعد لفطور ولعشا كل نهار,Neurology
قلب علا شي طبيب ت تداوي أمراض العصب,كان عندي عرض على طبيب نفسي,Neurology
الدم كايدخل للراس، وهادشي لي كيسبب الدوخة. شنو هو الحل؟,شنو كاتعني بهاد السؤال؟,Neurology
واش مفعول البيراسيتام كيشبه مفعول الجينكوبيلوبا؟ وشنو اللي حسن فيهوم بجوج؟,واش كاين شي حاجا ماشي هي هاديك ولا مرض?,Neurology
علاش كايتستعملو لحبوب ديال نيروبيون,النيوروبيون كايتستعمل ف لعلاج نتاع لالتهاب لعصبيا,Neurology
كيبان فيها لعافيا و لحملا جانيها لعضم,كانقتارح عليك تفحص العصب السمبتاوي,Neurology
شنو اللي كيضرني فالصبع؟,السبب يقدر يكون عضوي ولا نفسي,Neurology
واش كركرا كيصلح لعضم?,ماشي مزيان ملي كايكون سخون لحال أُ كايهبط ليه ضغط الدم,Neurology
واش موميت نستعملو ميرتازا باش نحلو مشكل ديال نعاس?,إمكان تتحسن جودة ونعومة ديال النعاس,Neurology
واش كايعاون فيتامين ب12 و ب6 فاش كايكون عندك التهاب لعصب السابع,مرحبا. آه، مزيان.,Neurology
مايمكنش يكون الدماغ,إلا بغيتي تعرف كتر، سير تقلب فالإنترنت وغادي تلقى بزاف ديال الشرح,Neurology
شنو لي كيسبب الصداع وشنو هو العلاج ديالو؟,راه تسالا ليه لعقل,Neurology
كلشي معرفة على داء لعضم,راه تسالا ليه لعقل,Neurology
دوا فعال لعيب النسا,خاص تشوف شنو اللي كيسبب الألم و دير راديو الأشعة السينية للظهر,Neurology
سمع نبضات قوية ف راسك ملي كاتنعس أُ ملي كاتفيق,مشا عند الطبيب ديال النعاس,Neurology
واش النسكافا كتضر لعضم,مزيان تشرب 4 ولا 5 كيسان فالنهار، على حسب لأحسان لدراسات,Neurology
عندي إعاقة ف رجل ليمن، بسباب شلل نصفي. شنو هو الحل؟,علاج طبيعي قوي,Neurology
عافاك عاونني نقرا التقرير,التقرير ديال الأشعة كيبين بلي كاين ضمور فالسدّية ديال الجمجمة,Neurology
بغيت شي واحد يعالج هاد المشكل ديال التيار الكهربائي,ملابس ديال القطن,Neurology
واش شلل الوجه كايتعاود مرا خرا من بعد ما تعالج,أه يقدر يرجع,Neurology
واش الصرع كايجيهوم من لبال,أه، هجمات ديال داء لويحييا ما يمكنش نتوقّعوهم,Neurology
شنو هيا أحسن دوا ف لعلاج ديال باركينسون,السنيميت كايتعتبر ركيزة أساسية فالعلاج,Neurology
واش مومكين تزيد ف لعاما ديال دوپامين,ممكن نزيدو مستقبلات الدوبامين بتعاطي المنشطات,Neurology
واش يمكن نزرعو مخيخ ديال الناس اللي عندهم مرض Spinocerebellar Atrophy؟,ماكاينش دابا,Neurology
شنو اللي كيسبب ليا النميل ف صباعي هاد لوقت كامل,كاين بزاف ديال الأسباب، فيها لي نفسي و لي عضوي,Neurology
عندي التهاب عصبي فالخامس، راه كايعالجوه,كان عندي عرض على طبيب نفسي,Neurology
واش دوخة وتنميل ليدين و لرجلين مرض معين?,إمكان كاين قليل من فيتامين ب12,Neurology
بغيت نسول على وجع الراس,كاين بزاف د الأسباب.... عافاك زيد توضح الأسباب لخرين,Neurology
شنو هما لعداوات ل كبار فلعمر?,السكر و لڭرام هوما لي كايسهرو لخرف,Neurology
"أهلان, واش كاين شي دوا نهائي لباركينسون",للأسف ماكاينش,Neurology
شنو هو أحسن طريقة باش نعالجو التهاب السحايا,لكورطيزون فلول 48 ساعة,Neurology
"تخربيق، نسيان, ومركّز علا والو",خاصنا نعرفو العمر وواش كاين شي أمراض مزمنة,Neurology
عندي لبرد فرجلي ما عرفتش علاش,شحال ف عمرك؟ وشنو هوما الحوايج لي عندك؟,Neurology
ماتحبسش شوفان و ماتحبسش فمك,هاد لعراض هوما ديال شلل لعصب السابع (الوجهي),Neurology
شنو هوما التحاليل لي كايتدارو ف لمخبر باش نعرفو واش شي واحد مصاب بلمرض ديال لعصابات,تخطيط لعضم,Neurology
الم شديد ف رجلييا غير الساق، نوع الالم هو خدر,خاصك تدير شي حاجة باش تصلح الوضعية,Neurology
عندي وجع فالمخيخ، بغيت شي دوا مؤقت باش نقدر نمارس حياتي اليومية,شنو اللي مقلقك؟,Neurology
الصداع واش كايدير شي ضرر للمستقبل وواش كايتعتبر أعراض جانبية,الصداع عندو أنواع بزاف,Neurology
عندي وجع قوي فاليد اليمنى تحت العين,خاصك تمشي عند شي طبيب ديال النعاس,Neurology
أمّي كايعاني من أعصابها فأسفل ظهرو من شي حاجة,واش عندها سكّار?,Neurology
شنو كاتنصاحم ل مرضا ديال شقيقا?,الوقت لي كايتقضى بعيد على الماكلة الحريفة والحلوة,Neurology
عافاك شرح ليا شنو هي هاد الإشارة,خاصك تصور الرنين المغناطيسي ماشي هاد التصويرة,Neurology
دوا فعال لعلاج الصرع و فيه تجارب,كاين بزاف ديال لعدويه أُ هادشي كايعتاماد علا لعوقفا,Neurology
تعريف لماراد ديال لعيبات و كيفاش كايتعالجو,راه دازو عليا هاد السؤال من قبل,Neurology
كايضرني صبعي فصبّاط معا سخانا ف جبهتي,كايقتارح يدير تيست ديال B12,Neurology
شنو هوما أعراض التشنج,القلق العضلي اللي ما كنحكموش عليه كيسبب لينا نكونو فحالة السكران,Neurology
شنو هو الدوا ديال النسا؟,راجعي عرق النسا ف القاموس,Neurology
شنو هو لعلاج ديال (ناروكولي)؟,سير عند شي طبيب نفسي,Neurology
كايضرني راجلي,إلا كان غير تأثر على الخدمة، راه خاصو يتعالج,Neurology
واش مريض الصرع مات?,إمكان إعافا بزاف ب الاستمرار ف العلاج,Neurology
شنو هو لعلاج ديال إلتهاب لعضم لميخ?,"شنو كاتعني ب ""التهاب الأعصاب ديال الدماغ""؟ عافاك شرح ليا أكثر.",Neurology
كايعتاني بلماراد لموتوسعا - لوسوس,تحليل وظائف الغدة الدرقية مهم,Neurology
"كاينا ""ن"" ف الجيهة لفوقانييّا سليييّا ديال الراس",غير علامات ديال النعاس على الأغلب,Neurology
شنو اللي كايسبب الراحة، الهدوء، والنعاس؟,بزاف ديال الأسباب، فيها النفسية و اللي فيها العناصر العضوية,Neurology
فيدي اليمني كايديرني صداع,خاصك ترسم العضلات والاعصاب,Neurology
شنو رايكم فهاد الأشعة؟,كانقتارح تدّي هادشي عند شي طبيب باش يشوف ليك الحالة ديالك و يجاوب على لأسئلة ديالك.,Neurology
واش كاينين شي عقاقير جداد كايعالجو الشلل النصفي الطولي؟,لسوء الحظ ماكاينينش شي عقاقير جداد,Neurology
واش الفعل الانعكاسي المسؤول عليه الحبل الشوكي أولا الجهاز الطرفي الذاتي؟,الحبل الشوكي,Neurology
الدراري ماعندهومش تحركا فليديهوم,طابعان خاصو يدير تيستات ديال سبيطار باش يعرفو شنو السبب,Neurology
شنو اللي كيسبب التهاب العصب الخامس؟,الواحد كايحس بالام ف نصف ديل وجهو,Neurology
أسماء دوايات كايعاونو باش يهدي لعصاب,ماشي مزيان نعطيو الأوراق ديال الخروج هاكا,Neurology
دوا ديال لتيرويد,هادشي علاش كاين اختصاص ديال الزملاء فالأمراض العصبية ماشي فجراحة الأعصاب,Neurology
تواتر ف الصوعب معا تببbitset,أحسن حاجة هي مراجعة الطبيب النفسي لي كان كيعالج,Neurology
شنو اللي كيسبب الألم فالعظم اللي فوق راسو ولفخادو ولفخادو؟,أشهر الأسباب هي الفقرات العنقية,Neurology
عندي وجع ف راصي,الوجع لي كايضرني بزاف و لي كايجي معاه لعطش خاصك تشوف شي طبيب فالحال,Neurology
واش يمكن لينا نديرو جوج ديال الرنين المغناطيسي فنفس النهار؟,نعم، ممكن.,Neurology
بلاصا عرفتش يالاه بديت كانحس بتنميل فيدي أُرجلي,كانقتارح تدير رينين ديال لمغناطيسا ل دماغ + B12,Neurology
واش مومكين تقرا التقرير,هاد لبيان كايبين لعيوب لخلقيا ديال التوعية ب الدم و لميكال ف لميكة,Neurology
شنو هو مرض التنظيص العصبي... وشنو كايتسمى ب لونغلي؟,شنو هي أعراض دالمريض؟,Neurology
عندي التهاب عصبي خامس، شنو هووّا لعلاج ديالو؟,شنو اللي مقلقك؟ شنو اللي صعيب عليك؟,Neurology
الجرعة المناسبة ديال كورتييان لعلاج العصب السابع,لجرعة السيمانا هيا لي كايحددها الطبيب,Neurology
عندي مرض الصرع فالفص الصدغي. شنو خاصني ندير؟,مشا عند طبيب الأعصاب,Neurology
واش النسايا أُ لقاتاقا من لمعاراض ديال سكارتي؟,"أه, ل أتريبيز ديالها",Neurology
واش هاد العملية جراحية باش يحيّدو الما اللي كاين ف الدماغ,ماكاينش شي خطر إن شاء الله,Neurology
كيفاش كايتسحاب لوسائل ليتكونات ف الدماغ,عملية صمام دماغي بريتوني كاينا فبطن,Neurology
شنو هييّا الإستراتيجيات باش نقلّيو من لعاراض ديال لعاسيب السابع ف الدار,بداية لحالا... كايتحتاج كورتيزون,Neurology
واش كاين شي أشعة إشعاع ولا شي تحليل باش نتأكدو واش كاين الصداع النصفي؟,طابعان، راه غير تشخيص,Neurology
السلام عليكم. واش كاين شي دوا ل هبوط صبعي؟ هادشي كاين شي ربع سنين هادي.,كاين واحد العلاج الطبي,Neurology
ملي كانرتاح أُ كانڭلس كانحس بنبض inside my head,قيس لضغط,Neurology
راسي كايوجعني بزاف، خاصني نمشي عند شي طبيب,طابعان سير شاور شي طبيب نفسي فبلادك,Neurology
عندي واحد الرعشة ف الشفة ديالي لي بقات ليومين وراها مشات و رجعات,غالبا راه نتيجة التوتر ولا الاجهاد,Neurology
واش الخلايا الجذعية نافعة ف لعلاج ديال ضمورات لمدامس,لخدما ديالي ماكاتعطيش شي فايدة,Neurology
كيفاش الدوبامين كايزيد الساڤورا فجسمنا,السيرتونين هو اللي كايجيب السعادة,Neurology
جرعات السكتونيل لي كتحاول تاخد و شحال من مرة كتاخد,تاخد جوج قرعات، وحدة مورا لفطور و وحدا مورا لعشا,Neurology
علاش كايعطي الفاليوم فاش كايكون الدراري كايعانيو من النوبات الصرعية؟,باش نرتاحو العضلات، كاين شي دوا ديال التخفيف من التوتر,Neurology
تنمل ف رجلي ويدّي، ومورّات كايدير في جنبي,نتا عندك نقص فدهر الزايد وخاصك تعوضو,Neurology
أهلان، عندي التيري اللي ماخداماش مزيان. شنو خاصني ندير؟,إلا كان القصد هو باش تسرع، إذن بدا بلعلاج,Neurology
كانحسّ براسّي بحال إلا كايدخل ليا شي التيار ف عيني,خاصك تذكر المدة و الأعراض لي كانتو معاها,Neurology
شنو هوما الحلول المقترحة باش نقللو من خطر تلف الجهاز العصبي؟,ماتزيدش فوق ساعا ف النهار,Neurology
واش ڭاع دوا ديال الصرع كايعيّمو الرجال?,دوا ديال الصرع ماكيعطيش العقم للرجال,Neurology
كانحس بحسارة كتنمل ويدي كتنمل ورجلي كتحرق وكنحس براسي مريض,غير علامات خفيفة ما كتعنيش بلي كاين شي مرض,Neurology
علاش كنشوف شي واحد كيتنمل ف الحيط ملي كينعس؟ شكرا,ممكن يكون نقص ف فيتامين ب12,Neurology
واش كايعاودو يضربوها ف الصراع بين راجل أُ مراتو,مرض الصرع كايمورّض القدرة ديال الإنجاب,Neurology
إلا كان النتيجة ديال HBsAg هي 0.10، شنو كايعني هادشي؟,الヘモglobين ديالك هو 0.1,Neurology
واش من بعد ما يتشاف من التهاب العصب السابع يقدر يرجع دابا؟,"أه, راه تعرضت لنفس لمشاكيل",Neurology
شنو هوما عتاكير ديال جوندوم و لآثار جانبية ديالها,الضغط العالي هو من أعراض السكري، والدهون الزايدة تاهي من أعراضو,Neurology
السلام عليكم. بغيت نسولك علا سبب هاد المرض لي عند ختي. راه مرض كهرباء زياده في رجليها.,خاصنا نخرجو لعضم,Neurology
واش كاين شي دوا جديد على داء الروماتيزم,الرجاء السؤال ديال العصبية، ماشي ديال الجراحة,Neurology
واش كاينا شي طريقة باش تبيّا ماتنساش شي حاجا,للأسف، مازال ماكاينش,Neurology
واش لوالدين لي عندهم التصلب المتعدد يقدرو يحملو?,الرجاء السؤال ديال العصبية، ماشي ديال الجراحة,Neurology
مرحبا، دكتور. محتاج نقرا التقرير و المعرفة اللي كاين فيه. شكرا.,التقرير صحيح وصح.,Neurology
علاج التهاب لعضم لمزير,ماشي باين لساني. ماعرفتش شنو كاتقسادي ب 'التهاب لعضم لموخارار',Neurology
واش نتا عارف علاش كنعس بهاد لعيالات لي ماكاينينش؟,كايقتارح تشوف شي طبيب ديال لعقل لبال,Neurology
يدي و راسي بارتعدو بزاف من شحال هادي 15 عام,راه تجاوبو عليه,Neurology
بغيت تشخيص و شرح هاد التقرير الطبي,كانقتارح ترفع التقرير للموقع باش تلقى الجواب على سؤالك,Neurology
واش ممكن تعطيني شي مهدئ؟ راه مزيان بزاف. جيب منو شي واحد من الصيدلية,سيروكات د 12.5 مغلفا ف الصباح,Neurology
كانحس بالدغدغة ف عينيا ليسر,كايضرّو راصو و كايدير ليه الصداع,Neurology
واش كاين شي علاج ديال فيرالعراق كايعاون الناس اللي مصابين بجلاطة دماغية؟,علاش لا,Neurology
كانحسّ براسّي مالقيتش قادّتي نتحرك صباعي أُنبدّلهم,سير عند الطبيب باش يشوف حالتك,Neurology
واش كاين شي دوا ل مرض ألتيمار ديال بياض ل دماغ,شي حالات كايجاوبو على جلسات الحث المغناطيسي,Neurology
شنو هووّا لعلاج ديال صداع,حسب نوعو كاين بزاف دالأنواع و التصنيفات ديال الصداع بحال التوتري والعنقودي والشقيقة,Neurology
عندي جرحة ف الصبع ديالي بقا ليا ست شهور هادي، واش غادي تنساي؟,إينا عصب هو لي تقطع؟,Neurology
ماعرفتش بالضبط شنو اللي مريض,هادشي لي بدا كايطيح. قلب على صرع ف لموسعدا.,Neurology
علاش كايتصابو ب الشلل,شلل العصب القحفي السابع. و هين العضلات الوبيل. و الجلطة ديال دماغيه. و اعتلال العضلات,Neurology
عندي جوج مفراس، واش نقدر ندير الرنين للراس؟,أه تقدر دير رانين لموڭناطيسي,Neurology
لورين (لورانس) هو دوا ديال القلق والتوتر. كيتعطى الجرعة اليومية.,مكيحشّش يتعاود يتستعمل فايت 10 ايام,Neurology
واش العادة ديال السريحة هي لي كتسبب لسان تقيل و التأتأة؟,ماكانضنش كاين شي علاقة بيناتهم,Neurology
واش سرعة القذف كتأثر على الحمل,أكيد ماغاديش يأثر على الحمل إلا دخلتي القذف داخل المهبل,Neurology
كيفاش كايعالجو الصداع لي كايجي ف الجبهة؟,طبيب كايدير تراجاعا علا لتيست ديال لخونييا باش يشوف شنو هو لخونييا,Neurology
شنو هو نوع ديال ماسك الوجه لي كيعاون فالعين السابعة؟,خاصك تمشي للمسؤول ديال الفيزيك باش يعطيك التفاصيل,Neurology
شنو هاد لماراد ديال شطيح,راجع رقص فالقاموس,Neurology
بغيت شي مهدئ ديال لعقل اللي إقدر إخليني نعس.,كانقتارح عليك تراجع الطبيب ديالك وتبع التعليمات ديالو فاش تاخد الدوا,Neurology
بنت عندها عشرين عام، كتعاني من الصداع، و النعاس، و الدوخة، و الغيبوبة,العلاج الكيمياوي,Neurology
"الفرضية: شنو كاتعني هاد المصطلح بلعربية؟

1. أضطرابات عصبية بعيدة",سرايح، بيد، مصباح، بوطو,Neurology
عندي مشكل ف راسي وعارف بلي العلاج هو باش نرضي مراتي,ماكاينش شي علاج نهائي للشقيقة,Neurology
ب شعرو بيض و عندو صداع قاصح,خاصنا نوصفو بالتفصيل الأعراض ديال الصداع و نقترحو عليك تمشي لشي طبيب قريب منك.,Neurology
واش كاين شي علاج لطبخ الماكلة فالدماغ عند الدراري؟,كاين دابا العلاج بالخلايا الجذعية,Neurology
إلا كانت لمام عاد مصابا ب الصرع، واش شرط باش يارتهوم ولادها؟,لا، الصرع غير وراثي.,Neurology
"أهلان, شنو لي خلاك ياماليك صبعا ليصرعا?",غالبا كاين نقص ففيتامين ب12 ولا فيتامين د3,Neurology
بغيت نعرف شنو هو العلاج ديال الرعشة,كانقتارح عليك تشوف شي طبيب مختص فالمصران باش يدير ليك فحص ويقترح عليك شي علاج,Neurology
شنو اللي سبب لباطة ديال صبعا تليد?,كاينين بزاف د ل أسباب. واش كاتعاني من لوجع ف ضهراك?,Neurology
شنو هو السبب ديال النسيان و الشرود الذهني؟,أهام سبب هو أنك ماتكونش نتا تركزازي أُ ماتكونش مقلق بزاف,Neurology
كيفاشاش كايتحايري لقاضيا ديال صداع متفرق خفيف,طبيب الأعصاب إقدر إعاونك ف لموضوع.,Neurology
اشنو هو طبيب لي كايشخص التوحد مزيان؟ إعصابات ولا دماغ؟,الاعصاب و الدماغ,Neurology
واش كاين شي دوا خاص ل الرعشة لي كايديرها لبنات الصرع,مضاد الصرع، سير عند طبيب الأعصاب.,Neurology
عندي كيس كبير ف راسي، راه 3 سنتمتر، و لكن راه كايتزاد,كايقتارحو يتحيّدها بطريقة جراحية,Neurology
واش الخلايا الجذعية الجنينية تقدر تعالج مرض التصلب اللويحي,هاد لعلاج مازال ماواضحش من الناحية العلمية,Neurology
واش كايعاودني الصداع ف الجيهة ل إمامه ديال راسّي هادي تلتيام؟,كاين احتمال باش يتصاب شي واحد بالتهاب الجيوب الانفيه,Neurology
السلام عليكم. واش ممكن نمل يدخل للودنين و يوصل للراس؟,طابعان.,Neurology
المي كاينة ف لبالكون,ضمور لخديما ديال لميك ب جوج جيهتات ديال لسانا ديال لميك بسباب لعمر ديال لمرا,Neurology
السلام عليكم. عندي وجع فكرشي. عافاك عافاك عاونني نعرف شنو السبب. شكرا.,عافاك وضح السؤال,Neurology
الاسترخاء الكبير فالعروق ديال الشد كيجي منين كيتشدو,قلب على طبيب نفسي فالمكتب ديال العلاج النفسي.,Neurology
واش لي عندو التهاب فعصب تامن يقدر يكون عندو ورم فعصب السمعي؟,ماشي بالضرورة,Neurology
شنو هيا أحسن طريقة باش تعالج القولون العصبي و تعالج الأعراض ديالو؟,لقا القولون العصبي ديالنا فالموقع ديالنا,Neurology
عندي بداية الزهايمر. شنو هو العلاج؟ شكرا.,خاصك تشوف شي طبيب نفسي,Neurology
شنو هو لعلاج ديال متلافيسيتا (MS),هادشي علاش كاين اختصاص ديال الزملاء فالأمراض العصبية ماشي فجراحة الأعصاب,Neurology
واش عارف علاش ديما كايديني راصي,راه جواب طويل هادا على هاد سوأل,Neurology
